Time_ps,Signal
50.0244140625,
50.0732421875,
50.1220703125,
50.1708984375,
50.2197265625,
50.2685546875,
50.3173828125,
50.3662109375,
50.4150390625,
50.4638671875,
50.5126953125,
50.5615234375,
50.6103515625,
50.6591796875,
50.7080078125,
50.7568359375,
50.8056640625,
50.8544921875,
50.9033203125,
50.9521484375,
51.0009765625,
51.0498046875,
51.0986328125,
51.1474609375,-103.64837071719604
51.1962890625,-116.28284753067246
51.2451171875,-117.09056443503819
51.2939453125,-117.33855511916333
51.3427734375,-117.58022236188422
51.3916015625,-117.97300496067366
51.4404296875,-118.453949551576
51.4892578125,-117.17229052815384
51.5380859375,-117.03362938566958
51.5869140625,-117.86136066578396
51.6357421875,-117.71618088747533
51.6845703125,-116.99503567191431
51.7333984375,-116.14108146030354
51.7822265625,-116.00739741267229
51.8310546875,-117.21761133847687
51.8798828125,-118.17595720741468
51.9287109375,-117.75356676579159
51.9775390625,-116.39771496787236
52.0263671875,-117.57619119981781
52.0751953125,-117.14318431427037
52.1240234375,-115.70514640454816
52.1728515625,-118.18633851946755
52.2216796875,-115.91261880248837
52.2705078125,-116.06170860132536
52.3193359375,-117.25585106043411
52.3681640625,-114.97861425684525
52.4169921875,-116.08686129557675
52.4658203125,-115.69537159871398
52.5146484375,-115.36716872485778
52.5634765625,-116.51803678456848
52.6123046875,-113.59441857192697
52.6611328125,-117.42773421518784
52.7099609375,-114.01340614765644
52.7587890625,-116.27301382628207
52.8076171875,-115.56845273203413
52.8564453125,-117.83293065835556
52.9052734375,-116.27925527740484
52.9541015625,-116.03700265570193
53.0029296875,-116.86728991164911
53.0517578125,-113.90036237917487
53.1005859375,-116.03013095034953
53.1494140625,-112.83017094027775
53.1982421875,-118.82751430703722
53.2470703125,-115.09749136244118
53.2958984375,-117.33101985630147
53.3447265625,-118.50520951267195
53.3935546875,-115.69414256448917
53.4423828125,-117.15813818968957
53.4912109375,-117.15297774016918
53.5400390625,-118.48394423037921
53.5888671875,-120.50223293031732
53.6376953125,-118.13851454882646
53.6865234375,-119.55285966243855
53.7353515625,-118.42716567910131
53.7841796875,-120.23778299828845
53.8330078125,-121.25448182443311
53.8818359375,-122.3436965023744
53.9306640625,-121.11077372559397
53.9794921875,-122.46614625341634
54.0283203125,-125.39907497669975
54.0771484375,-122.71894431471512
54.1259765625,-122.19737897781438
54.1748046875,-120.74019354936635
54.2236328125,-121.97670553884497
54.2724609375,-118.88158573275032
54.3212890625,-118.3420771797244
54.3701171875,-117.77609983931558
54.4189453125,-117.53648621572877
54.4677734375,-114.14629312845219
54.5166015625,-111.65932382670852
54.5654296875,-111.8057253248306
54.6142578125,-112.66436993494169
54.6630859375,-112.86589700244227
54.7119140625,-111.56456430457332
54.7607421875,-113.62972647887709
54.8095703125,-112.1424689027613
54.8583984375,-112.93784089603592
54.9072265625,-114.4451063294488
54.9560546875,-116.10604884959965
55.0048828125,-118.24970018205318
55.0537109375,-119.24047839650737
55.1025390625,-120.9204385256659
55.1513671875,-123.82873976076512
55.2001953125,-125.31175839638738
55.2490234375,-128.300836956202
55.2978515625,-128.36825601973263
55.3466796875,-127.58868583595657
55.3955078125,-133.84352636535485
55.4443359375,-134.196942030176
55.4931640625,-134.57464304276962
55.5419921875,-135.58812095057675
55.5908203125,-140.03092363822697
55.6396484375,-137.4579731899733
55.6884765625,-143.31194820962466
55.7373046875,-142.31794232614237
55.7861328125,-140.2944408222189
55.8349609375,-142.2378228540729
55.8837890625,-141.39300235227773
55.9326171875,-138.9696891260217
55.9814453125,-133.74275329602463
56.0302734375,-127.53946064707323
56.0791015625,-127.94381838716804
56.1279296875,-114.71698583106243
56.1767578125,-104.29921249965268
56.2255859375,-91.38118272933087
56.2744140625,-81.05038319968874
56.3232421875,-67.12043137772658
56.3720703125,-52.58833915095558
56.4208984375,-42.40827413059104
56.4697265625,-29.70639539413982
56.5185546875,-21.576022705509807
56.5673828125,-15.653020436583924
56.6162109375,-10.253898688106943
56.6650390625,-13.290541821927441
56.7138671875,-10.098312673682537
56.7626953125,-17.877079390590147
56.8115234375,-21.582931447712248
56.8603515625,-27.19733974556676
56.9091796875,-34.33682081406943
56.9580078125,-37.61888694378555
57.0068359375,-45.55923778359636
57.0556640625,-50.332810775879665
57.1044921875,-56.51693425469897
57.1533203125,-64.70065161156428
57.2021484375,-70.11611094013156
57.2509765625,-77.81511162767605
57.2998046875,-80.18983431564328
57.3486328125,-87.09709204710101
57.3974609375,-94.00447237459765
57.4462890625,-95.8708815992312
57.4951171875,-99.96929191798064
57.5439453125,-104.10672635376753
57.5927734375,-107.78306813339744
57.6416015625,-113.76753050660083
57.6904296875,-114.51179985558299
57.7392578125,-117.67978678511369
57.7880859375,-118.80791349346654
57.8369140625,-121.0479305041406
57.8857421875,-121.66340312087497
57.9345703125,-122.62383268972278
57.9833984375,-123.76876585823437
58.0322265625,-124.78368294544282
58.0810546875,-126.41276939335236
58.1298828125,-127.11288586890586
58.1787109375,-128.37648078847957
58.2275390625,-131.12625317276482
58.2763671875,-129.8100955278474
58.3251953125,-126.68140854286449
58.3740234375,-125.0154006321373
58.4228515625,-124.1431814341166
58.4716796875,-122.088040289326
58.5205078125,-122.60337354574149
58.5693359375,-121.63285640121116
58.6181640625,-120.64709059558857
58.6669921875,-119.0765973509289
58.7158203125,-119.10367500268934
58.7646484375,-117.74313893434706
58.8134765625,-117.78603970601367
58.8623046875,-117.25087367139864
58.9111328125,-116.50905540488554
58.9599609375,-117.86802513568766
59.0087890625,-118.94384967356761
59.0576171875,-116.7329935015141
59.1064453125,-116.56599110572049
59.1552734375,-120.56279514882783
59.2041015625,-115.60326709518468
59.2529296875,-117.26475317619415
59.3017578125,-114.84524100083803
59.3505859375,-115.68660187976468
59.3994140625,-113.71533492070373
59.4482421875,-112.47593639748814
59.4970703125,-112.40717306853232
59.5458984375,-110.26578639184434
59.5947265625,-110.22756792404815
59.6435546875,-110.25410595736815
59.6923828125,-109.8611050271254
59.7412109375,-110.14588334397502
59.7900390625,-108.981410229499
59.8388671875,-111.08033843570249
59.8876953125,-107.4952768249007
59.9365234375,-109.8373543245823
59.9853515625,-109.01325535484966
60.0341796875,-108.6424882088207
60.0830078125,-107.50767366240395
60.1318359375,-106.61080335735011
60.1806640625,-105.98057599568415
60.2294921875,-107.80025266573743
60.2783203125,-105.97700527822562
60.3271484375,-104.4119927118912
60.3759765625,-105.52576738999618
60.4248046875,-104.76923707337235
60.4736328125,-106.3634587583139
60.5224609375,-108.90409462794669
60.5712890625,-106.49819356193206
60.6201171875,-110.60988362993255
60.6689453125,-111.7581159896604
60.7177734375,-109.39812823176753
60.7666015625,-112.15837200893138
60.8154296875,-112.78397668092697
60.8642578125,-109.63935113146026
60.9130859375,-113.90439861883924
60.9619140625,-115.12393586129814
61.0107421875,-113.32290178773141
61.0595703125,-118.48704428200847
61.1083984375,-122.2793626402441
61.1572265625,-117.0671540086838
61.2060546875,-120.2175025250724
61.2548828125,-122.09141683682043
61.3037109375,-126.46840950747914
61.3525390625,-130.46587539559724
61.4013671875,-133.40985618483805
61.4501953125,-137.32341628026393
61.4990234375,-140.09763676487916
61.5478515625,-147.73384371530403
61.5966796875,-152.0878010291671
61.6455078125,-152.96874849821975
61.6943359375,-159.56377214433317
61.7431640625,-163.02558034536165
61.7919921875,-166.1214304253293
61.8408203125,-172.45537074103186
61.8896484375,-181.22457680032846
61.9384765625,-184.30188530741796
61.9873046875,-191.4535227723291
62.0361328125,-202.71661278317683
62.0849609375,-207.04525807688816
62.1337890625,-215.3473075248661
62.1826171875,-225.67607275433335
62.2314453125,-230.0770625748857
62.2802734375,-238.72559717660542
62.3291015625,-248.49507082291672
62.3779296875,-257.2077687015085
62.4267578125,-269.05881772562986
62.4755859375,-277.17087142323646
62.5244140625,-285.89093982549895
62.5732421875,-299.83202419490834
62.6220703125,-307.8645048933416
62.6708984375,-318.9083280217888
62.7197265625,-333.3024190842225
62.7685546875,-346.7613237764942
62.8173828125,-359.7991108419895
62.8662109375,-371.84005763780516
62.9150390625,-382.7083197360499
62.9638671875,-393.9902044843951
63.0126953125,-409.18480449338045
63.0615234375,-420.676004805757
63.1103515625,-434.6743356528997
63.1591796875,-443.7210404792811
63.2080078125,-454.65191032244667
63.2568359375,-467.7535534057387
63.3056640625,-480.13364913055165
63.3544921875,-491.93083504467165
63.4033203125,-500.56711284759075
63.4521484375,-507.80821364450827
63.5009765625,-521.1052314811877
63.5498046875,-533.2426580156365
63.5986328125,-536.8164851615546
63.6474609375,-546.0698531569636
63.6962890625,-548.0965102881008
63.7451171875,-552.0001224666843
63.7939453125,-556.3386931089673
63.8427734375,-557.2946722683204
63.8916015625,-555.2149848347467
63.9404296875,-551.6107985843354
63.9892578125,-548.4851049108955
64.0380859375,-536.4969052549283
64.0869140625,-528.7811370872347
64.1357421875,-511.72328718557924
64.1845703125,-491.3297728018268
64.2333984375,-463.70199297883477
64.2822265625,-433.2109570431757
64.3310546875,-397.00776336382216
64.3798828125,-342.02372426486215
64.4287109375,-288.112313788653
64.4775390625,-218.90275512173199
64.5263671875,-135.61947654452513
64.5751953125,-39.458470272929965
64.6240234375,70.97667099139132
64.6728515625,203.75199141244275
64.7216796875,346.4954920343307
64.7705078125,514.8001263728609
64.8193359375,696.7718310793131
64.8681640625,886.2248846317507
64.9169921875,1084.6388989736781
64.9658203125,1276.049442858846
65.0146484375,1449.7083958876763
65.0634765625,1597.7825710081322
65.1123046875,1712.5568672788374
65.1611328125,1779.5504049000288
65.2099609375,1804.7088568811178
65.2587890625,1782.0082155012224
65.3076171875,1723.680543775162
65.3564453125,1634.1385755136487
65.4052734375,1524.2182942483912
65.4541015625,1398.9733733970374
65.5029296875,1265.4310227701137
65.5517578125,1129.7061394754558
65.6005859375,993.8214245174041
65.6494140625,859.8697287615322
65.6982421875,727.5425472177074
65.7470703125,605.6112769756958
65.7958984375,487.58401127365767
65.8447265625,382.1294918026606
65.8935546875,282.9788285414973
65.9423828125,188.9492701718079
65.9912109375,101.77852007634301
66.0400390625,19.574011433853155
66.0888671875,-58.08033338567208
66.1376953125,-126.33719651266824
66.1865234375,-186.22818837767176
66.2353515625,-247.02404750095005
66.2841796875,-290.7819392010787
66.3330078125,-334.75878810096197
66.3818359375,-370.4501967503865
66.4306640625,-399.871727237349
66.4794921875,-419.230203785207
66.5283203125,-437.0489118582258
66.5771484375,-449.8066380987883
66.6259765625,-460.06169512414533
66.6748046875,-462.6084096633413
66.7236328125,-463.20698631925274
66.7724609375,-458.6103226707335
66.8212890625,-451.5850469258793
66.8701171875,-438.0295344961792
66.9189453125,-415.74319183344016
66.9677734375,-392.72176282092795
67.0166015625,-364.0372423226119
67.0654296875,-336.89044658216716
67.1142578125,-304.3645664749005
67.1630859375,-278.6586872274376
67.2119140625,-261.2605202983501
67.2607421875,-245.4107177645914
67.3095703125,-232.8389060555931
67.3583984375,-224.46353326778083
67.4072265625,-213.93411080936104
67.4560546875,-206.16324677205228
67.5048828125,-206.3993965765356
67.5537109375,-201.2122763504754
67.6025390625,-200.73161857843715
67.6513671875,-196.5302549107726
67.7001953125,-191.81502052495267
67.7490234375,-188.50430097682124
67.7978515625,-186.0378180821172
67.8466796875,-183.78240616455702
67.8955078125,-180.39858359065343
67.9443359375,-174.78523659987044
67.9931640625,-166.59207910137854
68.0419921875,-163.3240284379251
68.0908203125,-156.5446311718069
68.1396484375,-154.60555023999456
68.1884765625,-148.25059102642714
68.2373046875,-147.83038446208383
68.2861328125,-147.59427474863364
68.3349609375,-147.49206227556485
68.3837890625,-152.69012142036232
68.4326171875,-157.3034538905952
68.4814453125,-164.7560487350195
68.5302734375,-171.83372533349274
68.5791015625,-177.84121240733
68.6279296875,-180.94351812971698
68.6767578125,-183.94268952358865
68.7255859375,-184.45013296084446
68.7744140625,-180.58313746118276
68.8232421875,-175.0873118555856
68.8720703125,-169.50452403475865
68.9208984375,-165.04718972816514
68.9697265625,-157.9466995199542
69.0185546875,-161.42493355253308
69.0673828125,-156.82692732795095
69.1162109375,-162.73918325281554
69.1650390625,-167.22450529375018
69.2138671875,-165.11907147457612
69.2626953125,-165.60254816285112
69.3115234375,-167.66631807989654
69.3603515625,-164.38909433773267
69.4091796875,-158.8070457220689
69.4580078125,-162.0429895331117
69.5068359375,-157.3712611779254
69.5556640625,-154.6061113246263
69.6044921875,-154.27839111747784
69.6533203125,-154.23923185344586
69.7021484375,-151.63509371231123
69.7509765625,-154.7537346941871
69.7998046875,-152.86173169428574
69.8486328125,-151.7981370300138
69.8974609375,-159.5789965613879
69.9462890625,-163.4677950731367
69.9951171875,-172.43676062626375
70.0439453125,-171.97478451303206
70.0927734375,-176.46310955657066
70.1416015625,-179.58901713766406
70.1904296875,-189.79102794070542
70.2392578125,-192.97813055648496
70.2880859375,-199.11602602149063
70.3369140625,-205.23439923873838
70.3857421875,-210.13148106842957
70.4345703125,-211.7429980604363
70.4833984375,-210.03314025986572
70.5322265625,-207.4847943149865
70.5810546875,-205.15087486294925
70.6298828125,-200.62930401189777
70.6787109375,-196.42802317366915
70.7275390625,-190.92286614056331
70.7763671875,-186.71347876124776
70.8251953125,-182.54864852770393
70.8740234375,-178.81000919103178
70.9228515625,-172.16387666460224
70.9716796875,-163.5211513202333
71.0205078125,-158.53041294780968
71.0693359375,-150.64937262732005
71.1181640625,-147.51057738386186
71.1669921875,-144.9794976328811
71.2158203125,-146.31107707236106
71.2646484375,-141.1061227626493
71.3134765625,-143.89291063177654
71.3623046875,-145.5339903833347
71.4111328125,-151.58414341009646
71.4599609375,-153.73864950909612
71.5087890625,-155.3235274221589
71.5576171875,-158.07072061500887
71.6064453125,-162.62001509433006
71.6552734375,-162.79598527258867
71.7041015625,-164.39494664062929
71.7529296875,-169.5772412205577
71.8017578125,-177.06168530212315
71.8505859375,-180.93305955874402
71.8994140625,-187.1892655573373
71.9482421875,-194.22337909706354
71.9970703125,-196.39050052018462
72.0458984375,-203.33060687118058
72.0947265625,-207.3847173597232
72.1435546875,-213.55654600283472
72.1923828125,-218.34472115534837
72.2412109375,-218.11071217554385
72.2900390625,-221.20499736678602
72.3388671875,-225.99312439543576
72.3876953125,-223.2782673096556
72.4365234375,-223.81498523289756
72.4853515625,-223.46950172666033
72.5341796875,-224.34864967805095
72.5830078125,-221.4172452198551
72.6318359375,-220.5442058634812
72.6806640625,-220.43790085664202
72.7294921875,-218.17802687661518
72.7783203125,-221.78450101725926
72.8271484375,-222.63200334278505
72.8759765625,-218.66240880145207
72.9248046875,-212.3462824209338
72.9736328125,-213.9709888979761
73.0224609375,-213.89749093408153
73.0712890625,-213.84209858504875
73.1201171875,-210.4639328987222
73.1689453125,-213.67879280752956
73.2177734375,-213.10202855092925
73.2666015625,-214.13576660239167
73.3154296875,-216.60745129092865
73.3642578125,-216.15059542623973
73.4130859375,-219.12865910067583
73.4619140625,-222.8468867336316
73.5107421875,-222.2166700147606
73.5595703125,-226.47554050627545
73.6083984375,-229.0538368141361
73.6572265625,-234.5781235022505
73.7060546875,-238.20950681305732
73.7548828125,-245.9000949883437
73.8037109375,-255.48500785218937
73.8525390625,-259.38297596865914
73.9013671875,-266.3383341637242
73.9501953125,-273.1244192396031
73.9990234375,-284.49425423410077
74.0478515625,-289.72866051672617
74.0966796875,-300.7202997597772
74.1455078125,-305.0596196460954
74.1943359375,-314.4806091386384
74.2431640625,-314.8133617713745
74.2919921875,-315.07681024064374
74.3408203125,-318.25898946172316
74.3896484375,-310.51796832304547
74.4384765625,-308.45397879436064
74.4873046875,-307.9607020173954
74.5361328125,-303.1876714276511
74.5849609375,-297.23385137331337
74.6337890625,-296.6022054672725
74.6826171875,-289.70490274186784
74.7314453125,-290.8950786337262
74.7802734375,-290.0498465209806
74.8291015625,-280.84722669041804
74.8779296875,-278.8856244835514
74.9267578125,-276.76400456862496
74.9755859375,-265.08768260138777
75.0244140625,-259.3928333582357
75.0732421875,-249.45823288808856
